Entity,Year,Total number of international immigrants
High-income countries,2015,174885920
High-income countries,2020,189555073
High-income countries,2024,207271965
Honduras,1990,270423
Honduras,1995,149442
Honduras,2000,28461
Honduras,2005,27934
Honduras,2010,27288
Honduras,2015,38330
Honduras,2020,39195
Honduras,2024,39901
Hong Kong,1990,2218473
Hong Kong,1995,2443798
Hong Kong,2000,2669122
Hong Kong,2005,2721235
Hong Kong,2010,2779950
Hong Kong,2015,2841113
Hong Kong,2020,2962492
Hong Kong,2024,3063318
Hungary,1990,347510
Hungary,1995,322234
Hungary,2000,296957
Hungary,2005,366787
Hungary,2010,436616
Hungary,2015,475508
Hungary,2020,584567
Hungary,2024,689565
Iceland,1990,9584
Iceland,1995,12738
Iceland,2000,15892
Iceland,2005,25492
Iceland,2010,35091
Iceland,2015,39072
Iceland,2020,65424
Iceland,2024,98818
India,1990,7212791
India,1995,6836861
India,2000,6391543
India,2005,5954999
India,2010,5601237
India,2015,5252296
India,2020,4929816
India,2024,4796255
Indonesia,1990,92058
Indonesia,1995,114419
Indonesia,2000,287645
Indonesia,2005,87508
Indonesia,2010,113288
Indonesia,2015,192119
Indonesia,2020,306702
Indonesia,2024,445726
Iran,1990,4291601
Iran,1995,2937668
Iran,2000,2476469
Iran,2005,2552206
Iran,2010,2722397
Iran,2015,2729939
Iran,2020,2797235
Iran,2024,3840654
Iraq,1990,83638
Iraq,1995,199460
Iraq,2000,210525
Iraq,2005,134863
Iraq,2010,120466
Iraq,2015,359352
Iraq,2020,365766
Iraq,2024,370980
Ireland,1990,227783
Ireland,1995,247379
Ireland,2000,376321
Ireland,2005,620579
Ireland,2010,751381
Ireland,2015,802470
Ireland,2020,951686
Ireland,2024,1216237
Isle of Man,1990,34769
Isle of Man,1995,36886
Isle of Man,2000,39002
Isle of Man,2005,41475
Isle of Man,2010,43447
Isle of Man,2015,42238
Isle of Man,2020,43040
Isle of Man,2024,43693
Israel,1990,1622505
Israel,1995,1781111
Israel,2000,1838155
Israel,2005,1881017
Israel,2010,1953214
Israel,2015,2019891
Israel,2020,2068830
Israel,2024,2091569
Italy,1990,1529367
Italy,1995,1810642
Italy,2000,2143259
Italy,2005,3285903
Italy,2010,4719233
Italy,2015,5506199
Italy,2020,6223851
Italy,2024,6553671
Jamaica,1990,20475
Jamaica,1995,22713
Jamaica,2000,24952
Jamaica,2005,24284
Jamaica,2010,23677
Jamaica,2015,23165
Jamaica,2020,23629
Jamaica,2024,24007
Japan,1990,1050475
Japan,1995,1331094
Japan,2000,1651869
Japan,2005,1976528
Japan,2010,2161780
Japan,2015,2577487
Japan,2020,3289042
Japan,2024,3409529
Jordan,1990,1131529
Jordan,1995,1511664
Jordan,2000,1834160
Jordan,2005,2229368
Jordan,2010,3723368
Jordan,2015,4386976
Jordan,2020,4940142
Jordan,2024,5280168
Kazakhstan,1990,3289058
Kazakhstan,1995,2259955
Kazakhstan,2000,1733374
Kazakhstan,2005,1845637
Kazakhstan,2010,1856870
Kazakhstan,2015,1919920
Kazakhstan,2020,1990268
Kazakhstan,2024,2089797
Kenya,1990,298089
Kenya,1995,618745
Kenya,2000,707852
Kenya,2005,773354
Kenya,2010,954925
Kenya,2015,1126886
Kenya,2020,1050147
Kenya,2024,992536
Kiribati,1990,2162
Kiribati,1995,2223
Kiribati,2000,2283
Kiribati,2005,2487
Kiribati,2010,2868
Kiribati,2015,2919
Kiribati,2020,3126
Kiribati,2024,3302
Kuwait,1990,1056143
Kuwait,1995,935152
Kuwait,2000,1116932
Kuwait,2005,1353949
Kuwait,2010,1871827
Kuwait,2015,2610785
Kuwait,2020,3030731
Kuwait,2024,3323191
Kyrgyzstan,1990,623083
Kyrgyzstan,1995,518338
Kyrgyzstan,2000,389824
Kyrgyzstan,2005,309399
Kyrgyzstan,2010,232065
Kyrgyzstan,2015,204382
Kyrgyzstan,2020,199011
Kyrgyzstan,2024,194816
Land-locked Developing Countries (LLDC),1990,14076862
Land-locked Developing Countries (LLDC),1995,11932094
Land-locked Developing Countries (LLDC),2000,10884070
Land-locked Developing Countries (LLDC),2005,10682465
Land-locked Developing Countries (LLDC),2010,9776704
Land-locked Developing Countries (LLDC),2015,11758049
Land-locked Developing Countries (LLDC),2020,13062602
Land-locked Developing Countries (LLDC),2024,14973951
Laos,1990,22866
Laos,1995,23526
Laos,2000,21948
Laos,2005,20371
Laos,2010,32955
Laos,2015,45538
Laos,2020,48731
Laos,2024,51446
Latin America and the Caribbean (UN),1990,7253323
Latin America and the Caribbean (UN),1995,6728705
Latin America and the Caribbean (UN),2000,6589509
Latin America and the Caribbean (UN),2005,7111817
Latin America and the Caribbean (UN),2010,8275866
Latin America and the Caribbean (UN),2015,9109959
Latin America and the Caribbean (UN),2020,14287765
Latin America and the Caribbean (UN),2024,17510527
Latvia,1990,646007
Latvia,1995,538093
Latvia,2000,430178
Latvia,2005,376725
Latvia,2010,313786
Latvia,2015,265418
Latvia,2020,239422
Latvia,2024,220471
Lebanon,1990,424488
Lebanon,1995,466437
Lebanon,2000,514836
Lebanon,2005,553850
Lebanon,2010,625884
